aback|unexpected; surprised and disconcerted
shrill|sparp, piercing
shun|keep away from; avoid
shunt|send from one track to another; lay aside; evade discussion
sidestep|step to one side
simulacrum|(noun) a representation of a person (especially in the form of sculpture)
simultaneous|adj. occurring at the same moment
sinecure|(noun) an office that involves minimal duties
sinuous|having many curves, bends, or turns; winding
skeptic|a person who questions the validity or authenticity of something purporting to be factual
skiff|small boat
skit|short piece of humorous writing
skulk|to lie or keep in hiding, as for some evil reason
slake|to allay (thirst, desire, wrath) by satisfying; to cool or refresh; to sooth thirst
slapdash|(adjective) carelessly and hastily put together
slate|king of blue-grey stone; propose; critisize
slaver|to slobber; to drool; saliva drooling from the mouth
sluggard|a person who is habitually inactive or lazy
sluggish|inactive, slow-moving
smattering|(noun) a slight or superficial understanding of a subject; a small amount of something
smug|(adjective) marked by excessive complacency or self-satisfaction
snide|(adjective) expressive of contempt; derogatory or mocking in an indirect way
snub|(verb) refuse to acknowledge; reject outright and bluntly
soar|rise, fly high
sober|self-controlled
sobriety|quality or condition of being sober
soggy|heavy with water
solecism|a nonstandard or ungrammatical usage
solicitous|anxious or concerned; eager; careful or particular
solicitude|(noun) a feeling of excessive concern
solvent|able to pay all just debts; having the power of dissolving
somatic|of the body
somniferous|bringing or inducing sleep, as drugs or influences
somnolent|sleepy or drowsy
sonorous|giving out or capable of giving out a sound, esp. a deep, resonant sound, as a thing or place
soot|black powder in smoke
sophisticated|complex, subtle, refined
sophistry|a subtle, tricky, superficially plausible, but generally fallacious method of reasoning
soporific|causing or tending to cause sleep; somthing that causes sleep such as a medicine or a drug
sordid|wretched, comfortless, contemptible
sotto voce|in a low, soft voice so as not to be overheard
sparse|adj. scattered or scarce adj. austere and unadorned
spartan|(adjective) unsparing and uncompromising in discipline or judgment; practicing great self-
spear|weapon with a metal point on a long shaft
specious|apparently good or right though lacking real merit; superficially pleasing or plausible
spendthrift|(noun) one who spends money extravagantly
splenetic|(adjective) very irritable
spoonerism|the transposition of initial or other sounds of words, usually by accident
sporadic|(adjective) recurring in scattered and irregular or unpredictable instances
spurious|(adjective) plausible but false
spurn|to reject with disdain; scorn
squalid|foul and repulsive, as from lack of cleanliness; neglected and filthy
squander|spend wastefully
squelch|(verb) suppress or crush completely
stagnate|to cease to run or flow, as water, air, etc
staid|(adjective) characterized by dignity and propriety
stalwart|(adjective) dependable; inured to fatigue or hardships
start|(verb) to suddenly move in a particular direction
stasis|the state of equilibrium or inactivity caused by opposing equal forces
staunch|(adjective) firm and dependable especially in loyalty
steadfast|(adjective) marked by firm determination or resolution; not shakable
steeply|rising or falling sharply
stem|(verb) to hold back or limit the flow or growth of something
stentorian|very loud or powerful in sound
stickler|person who insists on importance of something
stigma|a mark of disgrace or infamy; a stain or reproach
sting|something sharp
stingy|spending, using unwillingly
stipend|(noun) a regular allowance (of money)
stipulate|state or put forward as a necessary condition
stoic|One who is seemingly indifferent to or unaffected by joy, grief, pleasure, or pain
stolid|(of a person) calm, dependable and showing little emotion or animation
strands|something twisted together into a rope, line of development
stray|wander, lose one.s way
striated|to mark with striae; furrow; stripe; streak
strident|loud and harsh
stringent|(adjective) demanding strict attention to rules and procedures
stultify|(verb) cause one, through routine, to lose energy and enthusiasm
stupefy|to put into a state of little or no sensibility
stygian|dark or gloomy; infernal; hellish; pertaining to the river Styx or to Hades
stymie|to hinder, block or thwart
subdue|overcome, bring under control
subjective|adj. open to personal interpretation; not based in objective fact
submerge|put under water, liquid, sink out of sight
subordinate|placed in or belonging to a lower rank
suborn|indice by bribery or something to commit perjury
subpoena|the usual writ for the summoning of witnesses or the submission of evidence, as records or documents, before a court or other deliberative body
subside|to sink to a low or lower level
substantiate|to establish by proof or competent evidence
subsume|(verb) contain or include
subterfuge|an artifice or expedient used to evade a rule, escape a consequence, hide something, etc.
subversive|(adjective) in opposition to a civil authority or government
sufficient|adj. enough for a given purpose
sullen|(adjective) showing a brooding ill humor
sullied|to be stained or discredited
sully|to soil, stain, or tarnish
summit|(noun) the peak or highest point
sumptuous|entailing great expense, as from choice materials, fine work, etc.; costly
sunder|to separate; part; divide; sever
superbly|adv. excellently
supercilious|haughtily disdainful or contemptuous, as a person or a facial expression
superfluous|being more than is sufficient or required; excessive
supernal|being in or belonging to the heaven of divine beings; heavenly, celestial, or divine
supernumerary|being in excess of the usual, proper, or prescribed number; additional; extra
supersede|to replace in power, authority, effectiveness as by another person or thing
supervene|to take place or occur as something additional or extraneous
supine|Lying on the back, or with the face upward; Indolent; listless; inactive; mentally or morally lethargic
supplant|to take the place of another (as through force, scheming, strategy or the like)
supplicate|to pray humbly; make humble and earnest entreaty or petition
supposition|an uncertain belief
surcharge|an additional charge or tax
surfeit|excess; an excessive amount
surly|churlishly rude or bad-tempered
surreptitious|done, made or gotten by stealth; acting with or marked by stealth
susceptibility|sensitiveness
suspect|to believe to be guilty, false, counterfeit, undesirable, defective
sustain|keep from falling; maintain; suffer; give a decision
susurrus|a whispering or rustling of sound
swarthy|dark skinned
swathed|wrapped in several layers of fabric
sybarite|a person devoted to luxury and pleasure
sycophant|a self-seeking, servile flatterer; fawning parasite
syncretic|the attempted reconciliation or union of different or opposing principles, practices, or parties, as in philosophy or religion
synopsis|summary or outline
synthesis|the combining of the constituent elements of separate material or abstract entities into a single or unified entity 
synthesize|v. to combine disparate parts into a coherent whole
tabula rasa|humans are born with no innate mental content
tacit|understood without being openly expressed, implied; silent or saying nothing
taciturn|inclined to silence; reserved in speech; reluctant to join in the conversation
tact|(noun) consideration in dealing with others and avoiding giving offense
talon|claw of a bird of prey
tamp|tap or drive down by repeated light blows
tantamount|equivalent, as in value, force, effect, or signification
tarn|a small mountain lake or pool, esp one in a cirque
tarnished|lost brightness
tarnish|(verb) make dirty or spotty, as by exposure to air; also used metaphorically
tarradiddle|a petty falsehood; a fib
taunt|contemptuous reproach, hurtful remark
tawdry|(adjective) tastelessly showy; cheap and shoddy
taxing|(adjective) use to the limit; exhaust
taxonomy|the science or technique of classification
tedious|tiresome
telling|(adjective) significant and revealing of another factor
telltale|(adjective) revealing
temerity|reckless boldness; rashness
temperance|abstinence from alcohol, self-control, moderation
tempered|(adjective) moderated in effect
tempestuous|(adjective) as if driven by turbulent or conflicting emotions; highly energetic and wildly
temporize|to be indecisive or evasive to gain time or delay acting
tenacious|(adjective) stubbornly unyielding
tendentious|(adjective) likely to lean towards a controversial view
tender|(verb) offer up something formally
tenet|any opinion, principle, doctrine, dogma, etc., esp. one held as true by members of a profession, group, or movement
tentative|unsure; uncertain; of the nature of or made or done as a trial, experiment
tenuous|thin or slender in form, as a thread
termagant|a violent, turbulent, or brawling woman; violent; turbulent; brawling; shrewish
terminus|the end or extremity of anything
terrestrial|pertaining to, consisting of, or representing the earth as distinct from other planets;of or pertaining to land as distinct from water
terse|neatly or effectively concise; brief and pithy, as language
thoroughgoing|(adjective) very thorough; complete
thrift|economical management; economy; frugality
thrifty|(adjective) spending money wisely
thwart|(verb) hinder or prevent (the efforts, plans, or desires) of
timid|shy, easily frightened
timorous|full of fear; fearful; subject to fear; timid
tirade|(noun) an angry speech
tocsin|a signal, esp. of alarm, sounded on a bell or bells
tolerable|fairly good, not bad, endurable
tonic|something giving strength or energy
toper|a hard drinker or chronic drunkard
topple|be unsteady and overturn
torpid|inactive or sluggish; slow; dull; apathetic; dormant, as a hibernating or estivating animal
torpor|sluggish inactivity or inertia; lethargic indifference; a state of suspended physical powers and activities; dormancy
torque|the measured ability of a rotating element, as of a gear or shaft, to overcome turning resistance
torrid|subject to parching or burning heaet, esp. of the sun, as a geographical area; oppressively hot; ardent; passionate
tortuous|full of twists and bends
tout|to solicit business, employment, votes or the like, importunately; to solicity support for importunately
toy|think not seriously, handle absent-mindedly
tractable|capable of being easily led, taught, managed; docile; malleable
transient|not lasting, enduring, or permanent; transitory; lasting only a short time
transitory|not lasting, enduring or eternal; lasting only a short time; brief
transmogrified|transform in a surprising or magical manner
transmute|(verb) change or alter in form, appearance, or naturegre.magoosh.com/flashcards
travail|painfully difficult or burdensome work; toil
travesty|a literary or artistic burlesque of a serious work or subject, characterized by grotesque or ludicrous incongruity of style; any grotesque or debased likeness or imitation
treacherous|(adjective) tending to betray
trenchant|incisive or keen; caustic; cutting; effective; vigorous; sharply defined
trencherman|a person who has a hearty appetite; a heavy eater
trend|tendency, general direction
trepidation|alarm, excited state of mind
tribulation|(noun) something, especially an event, that causes difficulty and suffering
trice|a very short time; an instant
trifling|an article or thing of very little value; a matter, affair or circumstance of little importance or significance
triskaidekaphobia|fear or a phobia concerning the number 13
trite|lacking in freshness or effectiveness because of constant use or excessive repetition; hackneyed; stale
truckle|to submit or yield obsequiously or tamely
truculence|fierece; cruel; savagely brutal; brutally harsh; vitriolic; aggressively hostile
truculent|(adjective) having a fierce, savage nature
truncate|to shorten by cutting off a part, cut short
tumult|(noun) a state of chaos, noise and confusion
turbid|muddy; thick with or as if with roiled sediment; not clear
turbulence|being uncontrolled, violent
turgid|swollen; distended; inflated, overblown or pompous; bombastic
turmoil|a state of great commotion, confusion or disturbance
turpitude|vile, shameful, or base character; depravity
tutelage|the act of guarding, protecting or guiding; office or function of a guardian
tutelary|having the position of guardian or protector of a person, place or thing; a saint or deity
tyro|a beginner in learning anything, a novice
ubiquitous|adj. ever-present or universal
ukase|(in czarist Russia) an edict or order of the czar having the force of law; any order or proclamation by an absolute or arbitrary authority
ulterior|being beyond what is seen or avowed; intentionally kept concealed
umbrage|(noun) a feeling of anger caused by being offended
unadorned|adj. plain; unembellished
unassailable|(adjective) immune to attack; without flaws
uncanny|(adjective) suggesting the operation of supernatural influences; surpassing the ordinary or
uncompromising|(adjective) not making concessions
unconscionable|(adjective) unreasonable; unscrupulous; excessive
undergird|to strengthen; secure, as by passing a rope or chain under and around
undermine|weaken gradually, at the base, make something under
underscore|(verb) give extra weight to (a communication)
underwrite|(verb) to support financially
undulant|wavelike in motion or pattern
undulate|to move with a sinuous or wavelike motion; display a smooth rising and falling or side-to-side alternation of movement
unequivocal|(adjective) admitting of no doubt or misunderstanding; having only one meaning or
unfeigned|not pretended, sincere
unflappable|(adjective) not easily perturbed or excited or upset; marked by extreme calm and
unfledged|without sufficient feathers for flight, as a young bird; callow
unforthcoming|(adjective) uncooperative, not willing to give up information
unguent|an ointment or salve, usually liquid or semiliquid, for application to wounds, sores, etc
unimpeachable|(adjective) free of guilt; not subject to blame; beyond doubt or reproach
unmitigated|not softened or lessened
unnerve|(verb) to make nervous or upset
unprecedented|(adjective) having never been done or known before; novel
unprepossessing|(adjective) creating an unfavorable or neutral first impression
unpropitious|(adjective) (of a circumstance) with little chance of success
unruly|(adjective) (of persons) noisy and lacking in restraint or discipline; unwilling to submit to
unscathed|unharmed, unhurt
unscrupulous|unprincipled, conscienceless, unrestrained by scruples
unseemly|(adjective) not in keeping with accepted standards of what is right or proper in polite society
unstinting|(adjective) very generous
untenable|incapable of being defended, as an argument, thesis, etc; indefensible
untoward|unfavorable or unfortunate; improper; perverse
untrammeled|(adjective) not confined or limited
unviable|(adjective) not able to work, survive, or succeed (also spelled inviable).
unwarranted|having no justification; groundless
unwonted|not customary or usual
upbraid|to find fault with or reproach severely; censure; sereve as a reproach to
urbane|having the polish and suavity regarded as characteristic of sophisticated social life in major cities
usurp|to seize and hold by force or without legal right
utilitarian|practical, useful, functional, sensible
uxorious|doting upon, foolishly fond of, or affectionately submissive toward one's wife
vacillate|to waver in mind or opinion; be indecisive or irresolute
vacillation|being uncertain, hesitating
vacuous|(adjective) devoid of intelligence, matter, or significance
vagary|an unpredictable or erratic action, occurence, course or instance
vainglory|excessive elation or pride over one's own achievements, abilities; boastful vanity
vain|without use, value or result
valetudinarian|a person who is excessively concerned about his or her poor health or ailments
valiant|boldly courageous; brave; stout-hearted
valorous|valiant; brave; courageous
vanquish|(verb) come out better in a competition, race, or conflict
vapid|lacking or having lost life, sharpness, or flavor; insipid; flat
vapor|a visible exhalation, as fog, mist, steam, smoke, or noxious gas, diffused through or suspended in the air
variance|(noun) the quality of varying
varicolored|variegated; motley
variegated|to make varied in appearance, as by adding different colors; to give variety to; diversify
vatic|describing or predicting what will happen in the future
vaunted|(adjective) highly or widely praised or boasted about
veer|change direction
vehement|zealous; ardent; impassioned
venality|(noun) the condition of being susceptible to bribes or corruption
venal|willing to sell one's influence, esp. in return for a bribe; open to bribery; mercenary
vendetta|a private feud in which the members of the family of a murdered person seek to avenge the murder by killing the slayer or one of the slayer's relatives
veneer|a thin layer of wood or other material for facing or inlaying wood; any of the thin layers of wood glued together to form plywood
venerable|accorded a great deal of respect, esp. because of age, wisdom or character
venerate|to regard or treat with revere
veneration|regarded with great respect
vengeful|characterized by or showing a vindictive spirit
venial|denoting a sin that is not regarded as depriving the soul of divine grace
veracious|habitually speaking the truth; precisely accurate
veracity|conformity to the facts, accuracy
verbiage|speech or writing that uses too many words or excessively technical expressions
verbose|using or expressed in more words than are needed
verdant|(of countryside) green with grass or other rich vegetation
verisimilitude|(noun) the appearance of truth
veritable|being truly or very much so
verve|vigor and spirit or enthusiasm
vestige|a trace of something that is disappearing or no longer exists
vex|annoy, distress, trouble
vexation|the state of being annoyed, frustrated or worried
vicarious|(adjective) felt or undergone as if one were taking part in the experience or feelings of
vicissitude|a change of circumstances or fortune, typically one that is unwanted or unwelcomed
vie|(verb) compete for something
vigilance|watchfulness, self-appointed group who maintain order
vigilant|keeping careful watch for possible danger or difficulties
vilify|speak or write about in an abusively disparaging manner
vindicate|clear (someone) of blame or suspicion
vindictive|having a desire to revenge
virago|a domineering, violent or bad-tempered woman
virtu|knowledge of or expertise in the fine arts
virtuoso|a person who has special knowledge or skill in a field
visage|a person's face, with reference to the form or proportions of the features
viscous|a thick, sticky consistency between solid and liquid
vitiate|to impair the quality of; make faulty; spoil
vitriolic|(adjective) harsh or corrosive in tone
vitriol|(noun) abusive or venomous language used to express blame or bitter deep-seated ill will
vituperate|blame or insult (someone) in strong or violent language
vituperation|verbal abuse or castigation; violent denunciation or condemnation
vituperative|bitter and abusive
vivify|enliven or animate
vociferous|(esp. of a person or speech) vehement or clamorous
volatile|adj. easily changeable or extreme; unstable
volubility|(noun) the quality of talking or writing easily and continuously
voluble|fluent; glib; talkative; characterized by a ready and continuous flow of words
voracious|(adjective) very hungry; approaching an activity with gusto
waft|scent, waving movement; carry lightly through
wage|payment, carry on, engage in (war)
wanderlust|a strong, innate desire to rove or travel about
wanting|(adjective) lacking
wanton|of cruel or violent action, deliberate and unprovoked
warmonger|person who stirs up war
warrant|authority, written order, guarantee
wary|feeling or showing caution about possible dangers or problems
wassail|a salutation wishing health to a person, used in England in early times when presenting a cup of drink or when drinking to the person
wax|(verb) to gradually increase in size or intensity
wayworn|wearied by travel
wean|accustom (an infant or other young animal) to food other than its mother's milk
weave|make (threads) into cloth
whimsical|playfully quaint or fanciful, esp. in an appealing and amusing way
wince|show bodily or mental pain
winsome|(adjective) charming in a childlike or naive way
wiseacre|a person who possesses or affects to possess great wisdom
witticism|verbal remark characterized by quick and inventive humor
woolgathering|indulgence in idle fancies and in daydreaming
xenophobia|intense or irrational dislike or fear of people from other countries
xerophyte|a plant that needs very little water (like a cactus)
xylography|the art of making woodcuts or wood engravings, esp. by a primitive technique
xylophagous|feeding on or boring into wood (esp. insect larva or mollusk)
yare|quick; agile; moving lightly and easily; easily manageable
yearling|an animal (esp. a sheep, calf or foal) a year old, or in its second year
yeasty|Full of vitality; exuberant; Not yet settled or formed; immature or incomplete
yen|a longing or yearning; the basic monetary unit of Japan
yeti|large hairy creature resembling a human or bear
yew|a coniferous tree that has red berrylike fruits, and most parts of which are highly poisonous - linked with folklore and superstition, they can live to great ages; an archer's bow made of this wood
zeal|
zealot|a fanatic
zeitgeist|the spirit of the time; general trend of thought or feeling characteristic of a particular period of time
zenith|(noun) the highest point; culmination
